Provincia,Acceso,Volumen_acceso
Capital Federal,4089,alto
Tierra Del Fuego,2836,alto
La Pampa,2567,alto
Córdoba,2412,alto
Buenos Aires,2304,alto
Santa Fe,2261,alto
Neuquén,2245,alto
Río Negro,1926,medio
Chubut,1912,medio
Entre Ríos,1841,medio
San Luis,1599,medio
Tucumán,1590,medio
La Rioja,1531,medio
Salta,1510,medio
Mendoza,1341,medio
Catamarca,1321,medio
Jujuy,1292,medio
Corrientes,1284,bajo
Misiones,1278,bajo
San Juan,1211,bajo
Chaco,1207,bajo
Santa Cruz,1189,bajo
Santiago Del Estero,1171,bajo
Formosa,954,bajo
